,userid,mostPopHashtag1,mostPopHashtag2,mostPopHashtag3,mostPopHashtag4,mostPopHashtag5,mostPopPost
0,37692305,GoDucks,ScoDucks,whereiroot,TrueToTheBlue,DRoseDoc,['Hold your heads high tonight. You left it on the floor and made duck nation proud. #GoDucks @OregonMBB']
1,614024492,ButterDunks,PureMagic,DunkContest,HowYouLobsterfest,ad,['Lol cuz whoever get the ball has to make one more pass!! https://t.co/RQHaqndU4k']
2,78193153,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,['Congrats Pats!!!!____________']
3,466852270,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,[]
4,1067020626,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,[]
5,135323628,RiseTogether,CUsRise,GatorNation,GatorsHoop,Winner,[]
6,1334787901,________‰∫,WE,B___,AHEAD,GETAHEAD,['Japan vs USA!!!!! Let__ go @dydk24 @babaseyo @joji']
7,1538825629,________‰∫,WE,B___,AHEAD,GETAHEAD,[]
8,416120361,________‰∫,WE,B___,AHEAD,GETAHEAD,[]
9,855247687,InternationalWomensDay,NBAGLeague,LDLCASVEL,LeadersCup,TeamAsvel,['Nous partons pour @DisneylandParis  \n#LDLCASVEL #LeadersCup #TeamAsvel']
10,76809678,InternationalWomensDay,NBAGLeague,LDLCASVEL,LeadersCup,TeamAsvel,[]
11,25100180,4TheLoveOfTheGame,WatchYourHead,Art,2pacVoice,NIP,"['I hope y__ll didn__ think I was done dunking on folks. ___#4TheLoveOfTheGame #WatchYourHead @ Jerusalem, Israel https://t.co/jxtoNTLEzM']"
12,130939593,4TheLoveOfTheGame,WatchYourHead,Art,2pacVoice,NIP,[]
13,372525649,tbt,Repost,ThisIsMyHouse,SuperBowlNaESPN,esperanca,['Estou desnorteado... Meus sentimentos _s fam√≠lias desses meninos que nos deixaram hoje nessa trag√©dia hoje no Ninho_ https://t.co/teCAabnbg0']
14,244800486,DetroitBasketball,NBA,Peace,NBAPlayoffs,paulcorvino,['_____ https://t.co/nNErjbZ5kT']
15,331283041,Jumia,ZerotoIPO,ToniMorrison,WhenIGrowUp,BlackHistoryMonth,['He gone cry in the car?']
16,165152266,PG13,Rachel,PoseOff,StrangerThings3,Salute,['Tough @hamidoudiallo ____________..this ones a wrap!! _§∑__\u200d___']
17,7.57288E+17,PG13,Rachel,PoseOff,StrangerThings3,Salute,[]
18,1036325418,NBAPlayoffs,EXCLUSIVE,freeagency,chillchill,moreplease,['Lets go @warriors ! So pumped to see you all again soon. ______ https://t.co/bM58IzKUEE']
19,82302496,OWNIT,hornets,DameDolla,CHARLOTTE,BoxOfficeTalk,['AMO TV IS BACK_ºÔ__ºÔ__ºÔ__ºÔ_ ALL STAR EDITION WE HAD A BL THIS MORNING ______ https://t.co/yAq5fbS0lO']
20,176326208,TeamTolliver,iJnip,bigblanket,TGBTG,thesnuggleisreal,"['Dear Heavenly Father, today I submit myself to be renewed every day. I regret my past mistakes and I ask you to for_ https://t.co/FWPVjpOjk8']"
21,55075301,OWNIT,hornets,DameDolla,CHARLOTTE,BoxOfficeTalk,['AMO TV IS BACK_ºÔ__ºÔ__ºÔ__ºÔ_ ALL STAR EDITION WE HAD A BL THIS MORNING ______ https://t.co/yAq5fbS0lO']
22,2155045712,Reyer,NewZealand,TERRORISM,SmoothCriminal,TheMasters,['Zion 1.0!! lil less athletic but Grandma Ma was a Monster!!!! https://t.co/gABFoypbl5']
23,20957449,beastmode,finishstrong,friday,Slovenia,spursfamily,['True that @ScotPollard31 https://t.co/N8aq6PkPyO']
24,273532957,beastmode,finishstrong,friday,Slovenia,spursfamily,[]
25,205441601,Blessings,NBAAllStar,RDC,CongoOnTheRise,GloryToGod,['What a night!!!!!!!!!!!!!!!!! https://t.co/v8PxF1h59V']
26,153307097,retirement,tooold,seatheworld,NespressoTalents,sasquatch,"['One last game day lunch tradition,\nGoing to miss those....\nPrepare the kleenex manu ______\n#retirement https://t.co/OZO4Afd0dj']"
27,9.48692E+17,BradleyBeal,NBACommunityAssist,NBACOMMUNITYASSIST,NBACommunityassist,bradleybeal,['Look clean to me _____§∑__\u200d___ https://t.co/xyx0qlF3wd']
28,186726223,Zalgiris,GameON,SuperBowl2019,ManoKomanda,Manokomanda,"['Dear Coach Rose,\nWhen it comes 2 basketball &amp; coaching, 1 of the __s in my eyes. Earned &amp; deserve all ur accolades!Y_ https://t.co/3dhIJLJKFw']"
29,40779444,Zalgiris,GameON,SuperBowl2019,ManoKomanda,Manokomanda,[]
30,152378469,PureMagic,quote,teamwork,lvcouncil,SleepyChuck,['@BleacherReport @NBA Sign him to a 10 day']
31,760494572,BoilerUp,MarchMadness,Elite8,Milwaukee414,Legend,['Lets Keep This Train __ Rolling!!! #Boilermakers #MarchMadness #Elite8 _§™']
32,42384760,HOLDAT,NBATwitterLive,ad,PoseOff,NbaTwitterLive,['Get Well Soon @ZionNPS']
33,146597870,STAYME7O,BiggerThanBasketball,OneLastDance,DESUSandMERO,TBT,['Congrats to my brother\xa0@DwyaneWade  on an incredible career. #BiggerThanBasketball #OneLastDance #STAYME7O\n__: @espn https://t.co/RlrafBemn6']
34,272116860,NBAPlayoffs,GameTime,NBAAllStar,Repost,OneLastDance,['This brother is a walking __ bucket!\n@JCrossover salute  _ https://t.co/YKNpBw4Dgv']
35,22578391,NBATwitterLive,fashion,NewProfilePic,k,free99,"['Yes, i am really retiring. It__ been a amazing ride. I__e had the chance to have some amazing teammates and play fo_ https://t.co/0aHz6wpPsy']"
36,16125042,TrustTheProcess,Dirk,MFFL,STAYME7O,BlackHistoryMonth,['Just flipping thru the channels and look what I see.  #highschoolallamerican https://t.co/UFd4aTtWL4']
37,53853197,ThankYouChr1s,LIVE,SXSW,HMkids,NBA,['It__ a dream come true to be able to share this experience with you! In my #HOME of #MIAMI ! See you March 26th._ https://t.co/Vdrp1r4crh']
38,92903456,Brotherhood,OneLastDance,ad,BiggerThanBasketball,TeamCP3,['Can__ nobody tell me nothin_ ______§£__ https://t.co/0oMtiMb3Gt']
39,1596720342,ripcity,DawgPound,RipCity,NBAPlayoffs,7DAYSEuroCup,['He really got 20-20-20 . That shit wild']
40,259030794,MTNDEWICE,bff,literacy,PowerItForward,JuveAtleti,['And I thought @ChelseaFC had a bad day... __ https://t.co/ykI94p1LUH']
41,239212757,BuzzCity,CHAatTOR,Hornets30,NBAAllStar,ad,['I__e officially made it....I__ featured in Slam Magazine!!! https://t.co/KEWcnBXCsG']
42,279697145,SicEm,TTT,YoungHoopers,WFinalFour,BigBucketSociety,"['Good luck guys, go get another one.. https://t.co/kSFkgSTaVx']"
43,267425142,CJ6,120Challenge,Pacers,NBAPlayoffs,GoldDontQuit,['__ in a row ready for more #Pacers #Together4Vic #CJ6 https://t.co/mKsGfNPPvy']
44,70926844,Dame5,NBAAllStar,DameGoose,FeelNoLimits,huluhaslivesports,['Lol https://t.co/mtEmML4kKh']
45,20356113,GoClippers,NBAPlayoffs,ClipperNation,ATuttoMotore,LaSettimanaDelGallo,"[""Never, never give up, my man Jusuf Nurki_.... I know it's hard ... but you'll come back to play ... I'll wait for y_ https://t.co/BltdJmnluC""]"
46,269552973,GoClippers,NBAPlayoffs,ClipperNation,ATuttoMotore,LaSettimanaDelGallo,[]
47,53401921,WeTheNorth,MtnDew3PT,NBAAllStar,GameDay,madebygoogle,['Yeeeeeeaaaaaaa! Don__ y__ll ever doubt my boys!']
48,37534613,WeTheNorth,MtnDew3PT,NBAAllStar,GameDay,madebygoogle,[]
49,35921824,doitBIG,BBN,uncommon,leadership,DME,['Let__ go!!']
50,2232325386,doitBIG,BBN,uncommon,leadership,DME,[]
51,205771054,doitBIG,BBN,uncommon,leadership,DME,[]
52,43658360,LaMareaRoja,gobluedevils,MakeYourMark,FollowFriday,TheRoadTo2019GoldGauntletSeries,['This is a defensive foul zebra https://t.co/GXPoDd3NIo']
53,132752344,Spurs,LaughsForLupus,MambaMentality,CourtsideCertified,Kobe4,['Man!! Prayers to Nurkic...____']
54,332627423,TheResurgence,NBAPlayoffs,TeamAria,DubNation,PurpleDay,['_... https://t.co/ELJ69idAtk']
55,1.04003E+18,EVERYDAY,SrSwagDaddy,TeamCarroll,THANKYOU,stjbb,['Why I__ so pumped... The @NBA didn__ even want to put him in the contest.... he was the last one in... and beat EVE_ https://t.co/XKYLH6tjyX']
56,61604894,EVERYDAY,SrSwagDaddy,TeamCarroll,THANKYOU,stjbb,[]
57,1576253378,throwback,NBAFinals,FCBB,DerrickWilliams,GameON,['RT @MeekMill: No social media .... all real life!']
58,202893625,throwback,NBAFinals,FCBB,DerrickWilliams,GameON,[]
59,1048960958,np,SoundCloud,WeDieHard,AquilaBasket,Trento,['Fans always on Fran back. But he stay getting quality wins. Feel like they forget where we were before he came']
60,183755853,SpursNation,Playoffs2019,CoffeeGang,GoSpursGo,global,"[""It's a big honor to wear this shirt! ____ #SpursNation ≈™____! https://t.co/ydurLbPCj1""]"
61,43756302,TrophyGame,LONGLIVENIP,TMC,LiveOnTheCourt,TheMarathonContinues,['NBA playoffs. Best time of the year!!!']
62,16812787,Big12MBB,DCFamily,Wizards,snubbed,comeon,"['Bradley Beal just got his 4th rebound tonight, which makes him the 31st player in @NBA history to avg. 25-5-5! the_ https://t.co/G9u8wddMLK']"
63,33995409,Big12MBB,DCFamily,Wizards,snubbed,comeon,[]
64,113483838,OneLastDance,onelastdance,BraidWade,SpotlightOnSunday,HeatNation,['I__e played 71 games this year so far and missed 7 because of the birth of my daughter. But I__e played that many g_ https://t.co/HiETlE8nPh']
65,253527338,Ekpesbookclub,MalcolmX,EkpesBookClub,AuthorsTalk,YoungHoopers,"['Dear #YoungHoopers \nPlease stop celebrating every point you score. Instead, celebrate the same way when a teammate_ https://t.co/MmbVh0L9M9']"
66,1523459624,GB,EPE,GGG,SF,callyamama,['I can__ stress enough how weak that student athlete ncaa commercial is!']
67,140208058,Success,Motivation,MentalHealth,Inspired,Happiness,['God is Good!!!']
68,302111485,Success,Motivation,MentalHealth,Inspired,Happiness,[]
69,98576365,Big12MBB,DCFamily,Wizards,snubbed,comeon,"['Bradley Beal just got his 4th rebound tonight, which makes him the 31st player in @NBA history to avg. 25-5-5! the_ https://t.co/G9u8wddMLK']"
70,131009726,Big12MBB,DCFamily,Wizards,snubbed,comeon,[]
71,554800704,OneLastDance,onelastdance,BraidWade,SpotlightOnSunday,HeatNation,['I__e played 71 games this year so far and missed 7 because of the birth of my daughter. But I__e played that many g_ https://t.co/HiETlE8nPh']
72,270072188,Ekpesbookclub,MalcolmX,EkpesBookClub,AuthorsTalk,YoungHoopers,"['Dear #YoungHoopers \nPlease stop celebrating every point you score. Instead, celebrate the same way when a teammate_ https://t.co/MmbVh0L9M9']"
73,562362256,GB,EPE,GGG,SF,callyamama,['I can__ stress enough how weak that student athlete ncaa commercial is!']
74,91133460,Success,Motivation,MentalHealth,Inspired,Happiness,['God is Good!!!']
75,341567459,Success,Motivation,MentalHealth,Inspired,Happiness,[]
76,41861751,RipCity,Blazers,NBAPlayoffs,NBA,Knicks,['ARE YOU FREAKING KIDDING ME ??????????? ___§Ø___§Ø']
77,39271923,FearTheDeer,straightbucket,w,bbn,theundefeatedSanAntoniobatslol,['___ https://t.co/Khty5KQ2v3']
78,2279776304,getBETTER,Hokies,HokieNation,GoDukes,CAAHoops,['Yesss sir SWEET 16 #HokieNation']
79,9.0492E+17,getBETTER,Hokies,HokieNation,GoDukes,CAAHoops,[]
80,356859571,BoilerUp,MarchMadness,Purdue,RegionPride,MarchMadneess,"['Congrats @BoilerBall! Elite Eight, Let__ get it!! __‚¨__ #BoilerUp #Elite8']"
81,46704247,FournierForReal,EvanFournierAcademy,PureMagic,KohLanta,Bordeaux,['Proud of us man!!! https://t.co/KDEUEAR9lR']
82,1358510274,GoBucks,RipCity,Team120,DevelopedHere,NBAAllStar,['I just witnessed the first travel ever called on James harden']
83,935368368,GoBucks,RipCity,Team120,DevelopedHere,NBAAllStar,[]
84,23260598,GeauxTigers,BradleyBeal,NBACommunityAssist,InsideTheNBA,BREAKING,['I appreciate all of the hospitality from the Grit and Grind Fam and the people in Memphis!!! Will never forget my time here!!!']
85,133069590,BuzzCity,Hornets30,SASatCHA,TORatCHA,BOSatCHA,['@WarrenBScott8 @RealJakeHyman We woulda smoked them buddy!']
86,555393138,huluhaslivesports,NBAAllStar,TeamGiannis,TeamJBL,AD,['Dunk contest next year??_ ____or____ https://t.co/Xg6aPoTjOI']
87,257699456,WreckEm,4To1,MarchMadness,LiveUnderPar,FinalFour,['RT @JuiceTooWavie: You would not believe Bill Nye \n\nIf ten million Science Guys']
88,133338415,dragon,mvp,allstar,kapetan,gogikamp19,['A legend with a legendary shot!!! __ #flash @DwyaneWade https://t.co/7lUgDIDo5e']
89,72475439,ItsAboutToBeCrazy,CUsRise,FBF,FridayFeeling,Game4,['Huge team W tonight on the road! _____ https://t.co/hjYsYVqkxD']
90,9.2503E+17,gorguidiengfoundation,GDFxMATTER,Idai,mattermore,regeneratesenegal,['Always a pleasure competing with a fellow Cardinal! https://t.co/Ce5J7SDYQW']
91,73457606,gorguidiengfoundation,GDFxMATTER,Idai,mattermore,regeneratesenegal,[]
92,480847192,gorguidiengfoundation,GDFxMATTER,Idai,mattermore,regeneratesenegal,[]
93,377723724,FinalFour,Blessed,MyJourney,FearTheTurtle,NBA,"['Aqu√≠, con el Capi de nuestra @SeleVinotinto Tom√°s Rinc√≥n, despu√©s de su entrenamiento con el @TorinoFC_1906 \nGracia_ https://t.co/LtdPrNllc1']"
94,41514775,SacramentoProud,HeIsRisen,OneLastDance,goheels,carolinaSZN,['https://t.co/xLRQjjriMN']
95,143140326,RunAsOne,piecedelafoutupie,Scores,eMCeeMondays,pressureapplied,"[""Houston.....you know why I'm here. __ https://t.co/LWqqZBvmN0""]"
96,189033619,Racernation,Patriots,Pause,Classic,3X3U,['Hold y__ll heads high!! Defeated the odds all year!! Hell of a Season!!! #Racernation #Family ________']
97,54438929,ThatSLOWgrind,MileHighBasketball,TougherTogether,Nuggets,RIPHussleMan,['Miss you Chyna!! https://t.co/X0eVe5nU6q']
98,119504238,ThatSLOWgrind,MileHighBasketball,TougherTogether,Nuggets,RIPHussleMan,[]
99,1110153360,Repost,birchwater,PuertoRico,MFFL,IslaDelEncanto,['Last home game for @swish41 it has been and honor playing along side you all this years wouldn__ change anything th_ https://t.co/Z3jA2pv0vf']
100,30465594,FIBAEuropeCup,SacramentoProud,VamosCanarias,FansMVP,LBASerieA,['Rudy not making the All-Star game is absolute trash. Modern basketball is either threes or lay-ups and Rudy negates_ https://t.co/pZZh70o6yc']
101,202043887,hescold,respect,TBT,Seattle,realheros,"[""One of the coldest game winners I've seen..""]"
102,24838521,THWND,BetterEveryDay,AllForSAMford,WMPC,OnlyAtGW,"['It__ great to See @OrlandoMagic back in the playoffs. Congrats to one of my favorite coaches, Steve Clifford. #BLEEDBLUE']"
103,26430244,HereTheyCome,NBAPlayoffs,NBA,AIPAC,GearsofWar4,['Just wanted to thank @HoustonRockets for the great opportunity to be apart of a championship caliber organization._ https://t.co/qUJggWPV1c']
104,363365354,Gemini,FacebookDown,InstagramDown,WhatsappDown,instagramdown,['Only those who care about you can hear you when your quiet.']
105,270044966,AllStar,realone,finishit,Beast,JesusHisLife,['Cocaine is helleva drug! ____ Both has great careers but Dwade is 3rd best SG of all-time https://t.co/PuvyiRfbGM']
106,272562079,NBAPlayoffs,10TV,BHM,BasketballCL,RoostersIsBetter,['Let__ keep dancing @OhioStateHoops ____________']
107,499048869,Pelicans,doitBIG,Pelican,MardiGras2019,TheBigEasy,['Yesterday we had about a foot of snow fall in the Milwaukee area. So Ella and I made the most of it and went outsid_ https://t.co/5W9ETmmV7p']
108,170424259,TheBounce,Repost,BearDown,LadyDriveNation,PlayersOnly,['It was an honor to share the court with you for 8 seasons your legacy will live on forever. @swish41 you played eve_ https://t.co/vyT1MRpSKy']
109,247149169,ATTUntoldStories,Afloat,YR,YearInSpace,EarthDay,"['I will miss this beautiful man. Kristoff St. John, you were all heart, all the time. _•Ô_ https://t.co/PEH9zoiVkn']"
110,435976945,ad,flashbackfriday,blackhistorymonth,juglifewater,juglife,['Thanx @Lakers Fans... You guys stuck with us.... really appreciate that!']
111,494422305,thereason,yallaherzliya,great,wintonight,from,"['Blessed to be apart of the world All-Stars...____‚≠__#3x #thereason @ Tel Aviv, Israel https://t.co/7dz6913Zc2']"
112,356408195,thereason,yallaherzliya,great,wintonight,from,[]
113,38026892,thereason,yallaherzliya,great,wintonight,from,[]
114,234811698,thereason,yallaherzliya,great,wintonight,from,[]
115,198932169,7DAYSMagicMoment,LigaEndesa,BirlikteG√º√ßl√ºy√ºz,BizDa√ßkayƒ±z,NBA,['What up Jody!!! https://t.co/E4UC7T9amD']
