,Post_Id,Userid,Time,Caption,Likes,Name,Comments
0,1.12E+18,37692305,2019/4/24 21:49,Thank you @RealKingFelix for another great outing.,0,Thirty2zero,@Thirty2zero @RealKingFelix We all want to see more of that.
1,1.12E+18,614024492,2019/4/24 8:51,RT @xtraGORDONary32: @Dame_Lillard you collllld bro,0,Double0AG,No comments
2,1.12E+18,380051568,2019/4/8 21:23,RT @KyleKorver: I've been trying to write this for a while. https://t.co/Qkt8aoVtdE,0,Adreian_Payne,No comments
3,1.12E+18,78193153,2019/4/21 20:34,Go Celtics!!! #RiseTogether,6550,Al_Horford,No comments
4,1.12E+18,1334787901,2019/4/24 14:58,RT @ALVARK_TOKYO: @babaseyo _ @kingkirk53 https://t.co/4tGTfUEtXl,0,kingkirk53,No comments
5,1.12E+18,855247687,2019/4/14 4:28,RT @dereklcopeland: Great event today hosted by @MrAnthonyMorrow talking about __ood Fathers_! Lot of wisdom and laughs shared by @Jonathan_,0,AjincaAlexis42,No comments
6,1.11E+18,373677327,2019/3/26 22:08,"RT @CloseUp360: In Year 1 with the Nets, Allen Crabbe set a franchise record for 3s. Now in Year 2, Allen has helped BK compete for a playo_",0,allencrabbe,No comments
7,1.12E+18,232438705,2019/4/20 16:10,"RT @BleacherReport: This whiteboard @DwyaneWade mural is unbelievable.

(via jcoreyartist/IG) https://t.co/rN08cJPnup",0,GeeAlonzo,No comments
8,1.12E+18,25100180,2019/4/22 2:49,"Great times with family _____ï¸ @ Miami Beach, Florida https://t.co/LWO1knrQY6",16,Amareisreal,@Amareisreal Hi Amar'e. I help African Torah Communities.  I'd love to tell you about them.
9,1.12E+18,372525649,2019/4/20 21:15,https://t.co/gl2O6zLKlb https://t.co/Xm23dB5amy,200,VAREJAOANDERSON,@VAREJAOANDERSON Vamos Ser campeÃ£o Vamos Flamengo minha maior paixÃ£o basquete orgulho da naÃ§Ã£o vlw VarejÃ£o
10,1.12E+18,244800486,2019/4/19 19:58,RT @HammerFox2: Class Act  @AndreDrummond agreed to donate to @DETBoxingGym for Every retweet of this photo. #Peace https://t.co/f6HMFXDzJs,0,AndreDrummond,No comments
11,1.12E+18,331283041,2019/4/19 18:23,Glad @united got the kids form @bgcsf &amp; @hiddengeniuspro out to watch @warriors playoff game https://t.co/JcPUFiv5NE,1119,andre,@andre @warriors @united @BGCSF @HiddenGeniusPro Were those tickets to the one you lost?
12,1.12E+18,165152266,2019/4/23 15:03,RT @LmKunda: Nipsey Hussle - Everybody operates off logic and what__ good for them at the present time rather than heart &amp; that creates opp_,0,FlyDre21,No comments
13,1.12E+18,620474224,2019/4/24 19:00,"Aldridge: Andrei Kirilenko will opt-in, stay with the Nets in 2014-15 - NetsDaily https://t.co/T7tP7Dsoan",0,AndrKirilenko,No comments
14,1.12E+18,1036325418,2019/4/24 5:01,Wtf ______ #NBAPlayoffs,1291,andrewbogut,@andrewbogut 50
15,1.10E+18,439779382,2019/2/20 7:30,@Sergetacular __,3,nicholaf44,No comments
16,1.12E+18,231209225,2019/4/21 22:04,Congratulations @BrookeHenderson on winning the LPGA Lotte Championship Back 2 Back Years!     ________,225,22wiggins,No comments
17,1.11E+18,159113258,2019/3/18 17:17,Let__ Go Kentucky! Who you got in the tournament? #BBN #MarchMadness https://t.co/sT5ke3IhDC,6464,AntDavis23,No comments
18,1.12E+18,82302496,2019/4/24 19:09,"RT @_LLCoolAye: Out of all the niggas you wanna try to rob, you wanna try Bun B. You clearly don__ care about your life because this man di_",0,MrAnthonyMorrow,No comments
19,1.12E+18,176326208,2019/4/24 5:02,Bro that might be the COLDEST game winner I__e ever seen ______ Dame is an absolute MONSTER!,267,ATolliver44,@ATolliver44 __ facts
20,1.10E+18,142138363,2019/3/9 7:46,RT @TheRealTimPremo: @edeven23 @_J_Flynn @paulharris11 @RealKrisJo @scoopjardine @arinze_onuaku @JakePresutti This is easily the most __ mix_,0,arinze_onuaku,No comments
21,1.12E+18,55075301,2019/4/24 19:09,"RT @_LLCoolAye: Out of all the niggas you wanna try to rob, you wanna try Bun B. You clearly don__ care about your life because this man di_",0,MrAnthonyMorrow,No comments
22,1.12E+18,156521166,2019/4/24 4:19,Dame Time _______ smh he really in video game mode!!,7,Adaye5,No comments
23,1.11E+18,364970961,2019/3/25 21:24,__________ appreciate it big homie!! https://t.co/I5WTGCNTuG,398,AustinRivers25,No comments
24,1.10E+18,2155045712,2019/2/28 7:28,@Ridiculousness is one of my favorite shows ______,1,BenMcLemore,No comments
25,1.12E+18,273532957,2019/4/24 6:11,This dude is something else!!! https://t.co/IgUjduuLdT,23,BenoUdrih1,No comments
26,1.12E+18,34430522,2019/4/24 5:07,Well how do you guard that.... good night I guess!!,93,bismackbiyombo,No comments
27,1.12E+18,205441601,2019/4/23 20:52,"detroit, not how we wanted it to end but i wanted to say thank you for the support all season long. this year was j_ https://t.co/occCvBfvhg",15714,blakegriffin23,No comments
28,1.12E+18,153307097,2019/4/17 5:02,"Thank you for all the messages today. 
Cheers to you all @ Bryce Canyon City, Utah https://t.co/WRfCRjjTCW",101,theborisdiaw,No comments
29,1.12E+18,270712565,2019/4/24 19:30,RT @DCYellowCab: @WashingtonWizz #BradleyBeal @DCYellowCab https://t.co/LkPNwLTtqS,0,RealDealBeal23,No comments
30,1.10E+18,9.49E+17,2019/2/19 19:58,RT @swish41: Not that it bothers me cuz I heard it too many times but is it cool for parents to point at me and tell their kids: look how t_,0,bwright34,No comments
31,1.12E+18,48477007,2019/4/21 18:27,@ScottWarner18 __ __,1,Brandon_Davies0,No comments
32,1.12E+18,2586417115,2019/4/21 0:58,RT @i_Gets_craze: Brandon Rush__ in game commentary as a COACH is hilarious ________,0,BRush_25,No comments
33,1.12E+18,40779444,2019/4/24 15:55,RT @RexChapman: Dame Lillard strolling into the 2nd round...__________ https://t.co/CmKAl813nR,0,bwood_33,No comments
34,1.12E+18,1352533376,2019/4/24 4:25,Okc be having the craziest runs they were just down 9 now up two in a span of minutes,7,Quietstorm_32,@Quietstorm_32 Been like that since they came to okc. No lead is safe either way..
35,1.12E+18,152378469,2019/4/19 0:12,@kingkirk53 We didn__ win enough games I guess __,29,cambairstow41,@cambairstow41 @kingkirk53 Big Kirk!! You left early bro! You could have stayed and chose not to. Wish you would ha_ https://t.co/jzvYf2Zi0C
36,1.12E+18,760494572,2019/4/23 3:46,Let__ Goooooo @Bucks!!!!! Who__ Next?? LoL #Milwaukee414,19,CarlLandry,@CarlLandry @Bucks Boston
37,1.12E+18,42384760,2019/4/24 16:59,"Come  And Join Me In My Hometown Of Juneau, Alaska As I Hold My Annual Basketball Camp August 4th to August 9th..._ https://t.co/9SuuIuF67v",9,MisterCBooz,No comments
38,1.12E+18,146597870,2019/4/12 16:01,They've got next. Check out these 12 emerging leaders who are shaping the next generation of artists. Next up... Li_ https://t.co/PaxPA77pUc,295,carmeloanthony,No comments
39,1.12E+18,132708764,2019/4/24 19:50,Vote @RealDealBeal23 #BradleyBeal#NBACommunityAssistAward https://t.co/bMwtWFpC9Q,14,realtuffjuice,No comments
40,1.12E+18,272116860,2019/4/24 5:04,happens to the best of us,17959,ChandlerParsons,@ChandlerParsons _______________________¥ð_________________________________________
41,1.12E+18,22578391,2019/4/24 17:45,Except that! I can__ use any games I__e been in. https://t.co/AmMMqaDel5,193,channingfrye,@channingfrye @ZeroDarkTwenty3 Good
42,1.12E+18,342457761,2019/4/21 19:52,"RT @PickAndPopNet: Joe Harris' late go-ahead bucket came on what's called a ""Charlie V."" Lawrence Frank termed it that after Charlie Villan_",0,CVBelieve,No comments
43,1.12E+18,16125042,2019/4/16 2:07,"RT @avpbeach: Sophomore season coming soon. 
__ @CBudinger https://t.co/q30uFwgfTR",0,Cbudinger,No comments
44,1.12E+18,53853197,2019/4/16 18:45,Our World __ can__ believe it__ time for #Spring #Easter portraits already! Time is flying. #BoshFamily https://t.co/cl3TxRH6gT,217,chrisbosh,@chrisbosh Beautiful family _¥°
45,1.12E+18,319539628,2019/4/13 17:16,This is what we__e been waiting for. __ #UnfinishedBusiness __: @MistaDubb https://t.co/xqfSWxMzwB,3481,CP3,No comments
46,1.12E+18,92903456,2019/4/22 16:10,@JoelleJames Where can I buy/stream/download that song?,0,c_hayes44,No comments
47,1.12E+18,68451043,2019/4/24 8:11,Mannnn . Craziest game I__e ever been apart of. Cold blooded. Logo trey from 40 feet for 50 piece and a series clin_ https://t.co/dg5BnggL2l,10379,CJMcCollum,No comments
48,1.12E+18,1596720342,2019/4/21 18:58,"I__ sorry but how do I not post this? Unreal. @ Indianapolis, Indiana https://t.co/Tr4nGXBPJ0",0,UCjwilcox23W,No comments
49,1.12E+18,259030794,2019/4/11 2:52,Playoffs!!! ____ ________,3884,CapelaClint,No comments
50,1.12E+18,134650548,2019/4/19 15:38,"RT @SportsCenter: 14 years ago, we witnessed one of the greatest basketball games EVER __ https://t.co/LwShPfEZwp",0,CodyZeller,No comments
51,1.12E+18,148821929,2019/4/22 20:55,Duke has officially become a luxury tax payer.,361,colea45,No comments
52,1.12E+18,239212757,2019/4/19 18:42,Check out my conversation with @alexkramers_ for the @SacramentoKings_Kings....we talked about everything from my c_ https://t.co/IgpbsEBKYM,204,TheCoreyBrewer,"@TheCoreyBrewer @SacramentoKings @alexkramers @NBA I know I can speak for many Rockets fans, we miss and respect yo_ https://t.co/Nh9HYnAX4I"
53,1.12E+18,279697145,2019/4/24 15:32,RT @EkpeUdoh: #YoungHoopers RT @BallStOfficial: Be sure to listen to @Dame_Lillard's message on how he was prepared to take that shot long_,0,CoryJay34,No comments
54,1.12E+18,412688692,2019/4/19 20:22,We got the GOLD out @TheFieldhouse for our fans tonight #NBAPlayoffs #GoldDontQuit #CJ6 https://t.co/YtPd2CWnUE,634,Cory_Joe,No comments
55,1.12E+18,267425142,2019/4/9 19:36,Thanks for sending the package @magicleap !! #GameofThrones @gwpresents you crazy for this! https://t.co/ItvpIZ9L6k,13,CourtneyLee5,No comments
56,1.12E+18,2284736934,2019/4/24 19:45,RT @brookeolzendam: _¤ï__¤ï__¤ï_ https://t.co/HClaFeQHf4,0,Dame_Lillard,No comments
57,1.10E+18,70926844,2019/3/3 20:10,"RT @ACBCOM: Â¡La locura en Murcia!

#LigaEndesa
__ En directo por @vamos https://t.co/tyW73MMtWT",0,Damjan_Rudez,No comments
58,1.12E+18,269552973,2019/4/18 15:06,"Ready for tonight? __ 
#GoClippers
#NBAPlayoffs https://t.co/nK3jJgn23Q",731,gallinari8888,No comments
59,1.12E+18,37534613,2019/4/24 20:18,"RT @Raptors: __ _ 04/23/19 _ 4-1 

pt 2 https://t.co/5LkfEha8qI",0,DGreen_14,No comments
60,1.12E+18,223712642,2019/4/23 23:06,RT @DreBlsd1: Lil Horn!!!__¤ï_______ #DME https://t.co/PZSr1PHnfD,0,DmillerKY,No comments
61,1.11E+18,205771054,2019/3/17 23:33,@JJFSINDIANA ! https://t.co/C1HvMMvmzX,32,Darren_Collison,No comments
62,1.12E+18,47506568,2019/4/24 17:24,Dayron Sharpe https://t.co/8MUBDnV62c,8,D_West30,No comments
63,1.12E+18,40354705,2019/4/22 20:55,Let's make sure we celebrate #EarthDay every day..,851,DeAndre,@DeAndre @nyknicks Sos https://t.co/TFv9cJxGq6
64,1.12E+18,43658360,2019/4/17 6:47,"RT @TheNBAMonster: Lo mejor de Manu Ginobili &amp; DeJuan Blair en la NBA... el pivot ex NBA es nuevo jugador de San Lorenzo

Tremenda conexiÃ³n_",0,DeJuan45,No comments
65,1.12E+18,132752344,2019/4/19 23:07,RT @brkicks: .@DeMar_DeRozan debuted the UNDFTD x Nike Kobe 4 Protro. Retail pairs in August 2019 will have the @UNDEFEATEDinc logo. https:_,0,DeMar_DeRozan,No comments
66,1.12E+18,332627423,2019/4/13 1:56,"_ #TheResurgence

__ STREAM NOW at https://t.co/T7uZ0k5XQh.
__ PREMIERES TOMORROW 8PM ET/PT on @Showtime. https://t.co/4wZC5SoBZz",361,boogiecousins,No comments
67,1.12E+18,331813832,2019/4/24 17:05,#EVERYDAY ______ https://t.co/xQval6IrM2,565,DeMarreCarroll1,No comments
68,1.10E+18,151728579,2019/2/17 3:52,@toroldsfam No worries man wasn__ your fault nothing that could have been done except being patient. Thanks for grabbing me another Uber!,1,DeronWilliams,No comments
69,1.12E+18,612792060,2019/4/23 15:47,https://t.co/TRdaCUbGwi,3401,dfavors14,No comments
70,1.12E+18,61604894,2019/4/16 23:42,"RT @Stadium: Watch the #DRoseDoc anytime, anywhere.

""Pooh: The Derrick Rose Story"" is available on demand! 

__: https://t.co/56JP61Riun ht_",0,drose,No comments
71,1.12E+18,202893625,2019/4/23 19:24,RT @MeekMill: No social media .... all real life!,0,DWXXIII,No comments
72,1.12E+18,249001367,2019/4/24 21:00,Facts lol https://t.co/0DvMcLZece,0,DevMarble,No comments
73,1.12E+18,205415788,2019/4/17 20:33,"RT @CanesHoops: Welcome to the U, Harlond Beverly! https://t.co/0ZjHFY6C60 https://t.co/2F4niT51kJ",0,d_dedmon3,No comments
74,1.12E+18,396839470,2019/4/15 13:52,RT @nikebasketball: All dreams are crazy until you make them true. @swish41 #justdoit https://t.co/mLW6eZUQm6,0,swish41,No comments
75,1.12E+18,1048960958,2019/4/21 20:53,My heart almost broke for a minute __ thought i was go have to boycott jimmy deans https://t.co/bMC8yPgJ74,0,dsloan15,No comments
76,1.12E+18,183755853,2019/4/17 18:31,__ #SpursNation __ __ @spurs #Playoffs2019 https://t.co/sCJYLqZ5AO,1152,DonatasMot,No comments
77,1.12E+18,85617701,2019/4/22 16:15,"RT @memgrizz: Triple-Dubs. Pick Pockets. Euro-Buckets.

Relive some of the Wright highlights from @delonwright's season in the Beale Street_",0,DWRIGHTWAY1,No comments
78,1.11E+18,116485600,2019/3/28 14:34,RT @UNLVathletics: NEWS: T.J. Otzelberger Named New @TheRunninRebels Men's Basketball Head Coach __ Rising star tabbed as leader of @UNLV me_,0,dougmcdermott,No comments
79,1.12E+18,43756302,2019/4/24 5:03,Damn Dame! Wow!,16207,Money23Green,@Money23Green @SLAMonline Draymond to Portland confirmed
80,1.12E+18,2445047678,2019/4/12 1:42,"He probably had no say when it came to the future, and direction of the Lakers. So he resigned. I__ afraid that Lav_ https://t.co/rKuslBRvN6",3,DrewGooden,No comments
81,1.12E+18,33995409,2019/4/10 20:15,You revolutionized the way the game is played. You taught us all that through hard work anything is possible. You n_ https://t.co/epK9fdo3Xq,1736,DwightPowell33,No comments
82,1.12E+18,113483838,2019/4/24 5:00,DAME DAMN!!!!,50523,DwyaneWade,No comments
83,1.12E+18,253527338,2019/4/24 21:16,RT @BSO: Something that wasn't reported nationally in Shawn Oakman's case. When the DA figured out he  was innocent they offered him a plea_,0,EkpeUdoh,No comments
84,1.12E+18,1523459624,2019/4/24 5:08,Facts! https://t.co/xdCQbaFOUG,111,elfrid,No comments
85,1.12E+18,302111485,2019/4/9 12:15,"RT @JoelOsteen: If you__e going to reach your destiny, you have to get good at ignoring things. Ignore negative comments, ignore insults, i_",0,Elijah_Millsap,No comments
86,1.12E+18,98576365,2019/4/24 21:56,"RT @NYPost_Berman: Good for Enes Kanter, into the second round. Wasn__ that David Fizdale benched him after five games, first for not-yet-r_",0,Enes_Kanter,No comments
87,1.12E+18,299242570,2019/4/10 4:11,It__ crazy @JCrossover haven__ been an allstar #straightbucket,503,EBled2,No comments
88,1.12E+18,131009726,2019/4/22 21:54,"RT @NBA: __ @TheofficialEG10's BEST PLAYS (16.2 PPG) in the NBA Regular Season! 

__: (4) HOU 3-0 (5) UTA, Game 4
_: 10:30pm/et __: @NBAonTNT_",0,TheofficialEG10,No comments
89,1.12E+18,270072188,2019/4/17 9:46,@Breezyyy14 ___,38,ErickGreen,No comments
90,1.12E+18,562362256,2019/4/20 2:53,"RT @TheRSN: The Bizoukas Family!

Thank you for generous donation to the Region!

#RegionPride https://t.co/Wuq0bztytS",0,ETwaun55,No comments
91,1.12E+18,91133460,2019/4/15 17:53,"Retour aux sources pour mes freros @Jezli9 &amp; @lahaouKonate .
La @SaintCharlesBB fournisseuse officielle de talents._ https://t.co/jQQo0tDVin",36,EvanFourmizz,No comments
92,1.12E+18,41861751,2019/4/24 21:54,This is beautiful https://t.co/0OQDFud7z5,19,thekidet,@thekidet YUP!!
93,1.12E+18,126458229,2019/4/24 17:44,"RT @WizardsGWiz: VOTE AND RETWEET for @RealDealBeal23!!! ______

#BradleyBeal | #NBACommunityAssist https://t.co/MzrLtnHwB7",0,GTemp17,No comments
94,1.12E+18,39271923,2019/4/12 16:47,"Looks like we__l be sharing the Pepsi Center a little while longer @gabelandeskog92.  Thanks a lot, @UCHealth. Good_ https://t.co/WE6E9hmCq3",679,thats_G_,No comments
95,1.12E+18,2279776304,2019/4/10 11:19,"RT @HornetsOnFSSE: .@g_hender09 gets you ready for action with tonight's ______ to the game!

#BuzzCity | #TORatCHA | #Hornets30 https://t.co/_",0,g_hender09,No comments
96,1.12E+18,9.05E+17,2019/4/12 15:31,Let__ get this going! @MetroByTMobile is putting together the World__ Biggest Game of H-O-R-S-E &amp; you can enter for_ https://t.co/9Pw0bm6sDp,734,Giannis_An34,No comments
97,1.12E+18,356859571,2019/4/24 18:40,"RT @JuiceTooWavie: You would not believe Bill Nye 

If ten million Science Guys",0,_glendavis_,No comments
98,1.12E+18,46704247,2019/4/24 15:47,"RT @BleacherReport: Dusan Tadic's season for Ajax has been unreal __ 

(via @brfootball) https://t.co/60J01Sf8fV",0,Goran_Dragic,No comments
99,1.12E+18,1358510274,2019/4/21 21:24,That's how we do it! On to the next! #ItsAboutToBeCrazy https://t.co/DyxsBsNQdW,18247,gordonhayward,No comments
100,1.12E+18,133069590,2019/4/8 14:28,super grateful #gorguidiengfoundation https://t.co/5bSVaaCkhK,121,GorguiDieng,No comments
101,1.12E+18,555393138,2019/4/24 13:15,"@KingJames will be fine and of course the whole world is going to speculate what will happen and Franklin, no one knows. #NBA",4,greivisvasquez,No comments
102,1.12E+18,3065022464,2019/4/21 15:22,Happy Resurrection Sunday! #HeIsRisen https://t.co/LKiWDcBq4q,231,hbarnes,"@hbarnes That's right God bless .....
And stay in Sac -Town .....__"
103,1.12E+18,257699456,2019/4/24 7:39,@BleacherReport @BR_NBA Nite nite,10,304skywalkerjr,No comments
104,1.12E+18,133338415,2019/4/24 13:58,#RunAsOne,493,imanshumpert,@imanshumpert Cmon guys let__ seal this one up
105,1.12E+18,72475439,2019/4/24 5:04,Dammmmm that__ Tough!!! Great Series!!!,23,SiP03,@SiP03 N you said it's going to games 7. Smh
106,1.12E+18,73457606,2019/4/13 3:42,___ Twitter I__l talk to y__ll after the playoffs. #ThatSLOWgrind,2186,isaiahthomas,No comments
107,1.12E+18,596857496,2019/4/24 3:03,"#Repost @bsnpr with get_repost
_»ã__
____ CLAVELL ____ https://t.co/gQviOeI28m",23,jjbareapr,No comments
108,1.12E+18,480847192,2019/4/24 5:01,Town Business @Dame_Lillard OMG,49,Bari_BrownIDF,No comments
109,1.12E+18,125408809,2019/4/24 20:35,@DJJazzyJody ______,1,JackCooligan45,No comments
110,1.12E+18,377723724,2019/4/24 17:21,TRUE CHANGE IS FREEDOM OF NEGATIVITY.!!,579,CJC9BOSS,"@CJC9BOSS Jae, I don't know if you'll read this, but I completely agree with you. If you're down with reggae, check_ https://t.co/JbfdElMh94"
111,1.12E+18,41514775,2019/4/24 15:55,"Another day, another opportunity..",1134,Jcrossover,No comments
112,1.12E+18,143140326,2019/4/24 17:12,"RT @CoachJFry: Spend more time with people 

who make you feel better than 

spending time with people who 

say things to make you feel_",0,jameernelson,No comments
113,1.12E+18,50811932,2019/4/20 23:55,RT @tobias31: ______ https://t.co/4XnX4N9WQy,0,JamesDa_Truth,No comments
114,1.12E+18,171774400,2019/4/12 21:01,YOUR ENERGY WAS AMAZING.  YOU BROUGHT A DIFFERENT JOY TO THE WORLD. YOU BECAME A HERO BRO. I JUST HOPE TO ACCOMPLIS_ https://t.co/gMLvuGl3H6,36664,JHarden13,No comments
115,1.12E+18,189033619,2019/4/16 7:18,"RT @LAClippers: Leadin' the charge for the second unit.

@TeamLou23 and @Jmyke1 combined for 26 PTS on 11-13 FG in the third. https://t.co/_",0,Jmyke1,No comments
116,1.12E+18,54438929,2019/4/24 17:47,Not everyone that looks happy is happy.,5,J1Flight,No comments
117,1.12E+18,119504238,2019/4/24 18:55,__________ https://t.co/oPrDs4VL1V,30,JaredDudley619,No comments
118,1.12E+18,195985229,2019/4/22 14:11,________ https://t.co/219KGFqudB,47,Jared_Sully0,No comments
119,1.11E+18,58673299,2019/3/29 4:23,RT @Santa_Vol: The last time the Vols were in the Sweet 16 Jarnell Stokes helped get them there!  If you'd like to win this card autographe_,0,JarnellStokes,No comments
120,1.12E+18,1110153360,2019/4/24 5:14,"Man never mind that shot was ridiculous, i still can__ believe this RT @Nickgee111: @Jarrettjack03 Miss you balling out there JJ.",17,Jarrettjack03,No comments
121,1.12E+18,30465594,2019/4/18 21:08,Sending some birthday love to my better half. Happy Birthday to the best mom our kiddos could ask for. We love you_ https://t.co/qaHx4zW5IW,11,JasonSmith014,No comments
122,1.12E+18,202043887,2019/4/24 17:13,RT @mcuban: Somewhere up there Paul Allen has a big smile and a new guitar riff to celebrate the moment . Congrats Paul ______ https://t.co/ru_,0,jasonterry31,No comments
123,1.12E+18,24838521,2019/4/24 4:41,@JonathanWillis Great for them. Good for the organization. Is there any chance Woodcroft gets a look at the head coach job?,6,MyJasonThompson,No comments
124,1.12E+18,26430244,2019/4/23 16:43,@joshhart So wasteful,239,JaValeMcGee,No comments
125,1.12E+18,499048869,2019/4/23 1:23,#great #wintonight #yallaherzliya @winnerleague #from #thereason https://t.co/ZOxscYpxED,3,Adrien4,No comments
126,1.12E+18,170424259,2019/4/16 17:56,"RT @ACBCOM: .@RayMac3, un jugÃ³n anda suelto en Lugo.
#LigaEndesa https://t.co/jN8VxSoGY3",0,JeremyEvans40,No comments
127,1.12E+18,843948212,2019/4/21 14:13,Happy Easter!! He is risen! Jesus is the __#ResurrectionSunday,2000,JLin7,No comments
128,1.12E+18,247149169,2019/4/21 14:31,Loading_ https://t.co/JNMazsxC3E,3,jerrydbayless,No comments
129,1.12E+18,255199842,2019/4/21 19:23,Such a great message for everyone today!  I__ so grateful for my savior.  Happy Easter Sunday!  #HeIsRisen https://t.co/bZS6zjZIKf,847,jimmerfredette,@jimmerfredette This kind of missionary work is far more important than any basketball game.
130,1.12E+18,435976945,2019/4/24 2:41,W,34524,JimmyButler,No comments
131,1.12E+18,38026892,2019/4/21 14:00,Happy Easter everyone! This year the Easter bunny brought us something special. Sometimes miracles come in pairs. J_ https://t.co/4tfGxdjYmF,5100,RealJoshReddick,No comments
132,1.12E+18,243214305,2019/4/13 16:26,RT @chipcookiesco: Who wants a @joeingles7 signed @utahjazz jersey?! He__ giving one away to one lucky #autismawareness #cookiemonsterchip_,0,Joeingles7,No comments
133,1.12E+18,3064439620,2019/4/8 18:36,https://t.co/IFalptn5PJ,80,TheJoeJohnson7,No comments
134,1.12E+18,234811698,2019/4/24 10:47,What a game @trailblazers and what a performance @Dame_Lillard! Thats a baaaaaad man!!,292,joelfreeland19,"@joelfreeland19 @trailblazers @Dame_Lillard Yasss! Glad you got to watch! So intense, crazy ahhh! No voice lol"
135,1.12E+18,198932169,2019/4/15 20:53,Sans mot devant les images de l__ncendie qui ravage actuellement l__n des monuments historiques de notre pays ! _____ https://t.co/akwjv7k41X,2222,1JOLOLO,No comments
136,1.12E+18,140318601,2019/4/24 5:06,That__ one the coldest things I__e ever seen lol,521,Johnhenson31,@Johnhenson31 Ice.
137,1.12E+18,132389474,2019/4/19 14:43,@dezcambridge @Coach_Boogs I only see one school on there,49,JohnnyCashVU23,@JohnnyCashVU23 @dezcambridge @Coach_Boogs https://t.co/pMPyWe0uez
138,1.12E+18,38783856,2019/4/24 16:42,"RT @WashMystics: RETWEET to vote @RealDealBeal23 for his work in the D.C. community this szn!

#BradleyBeal | #NBACommunityAssist | #Togeth_",0,JohnWall,No comments
